,evolutionary_track,x,y,x2,xlog,ylog,xrange,yrange,xnormalization,ynormalization,kname,combination,mean_deviation,max_deviation,saveGPmodel,saveGPdata
18,m1.1_feh0.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[56343806.17644346, 7892449319.339193]","[4840.446576436556, 6191.586881558877]",True,True,constant + exponential,True,4.782778718138451e-05,0.000423305781540817,m1.1_feh0.0_MLT1.9_fov0.018.gpdict,m1.1_feh0.0_MLT1.9_fov0.018.gpdata
19,m1.03_feh2.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[79504286.3690357, 11785185164.83161]","[4711.599691931033, 5791.1030134921275]",True,True,constant + exponential,True,4.200611590643952e-05,0.0003018833680883404,m1.03_feh2.0_MLT1.9_fov0.018.gpdict,m1.03_feh2.0_MLT1.9_fov0.018.gpdata
20,m1.2_feh1.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[49233165.50364599, 6342831949.708012]","[4708.090528117948, 6212.364272506504]",True,True,constant + exponential,True,0.00012293486530117972,0.0009601454558162414,m1.2_feh1.0_MLT1.9_fov0.018.gpdict,m1.2_feh1.0_MLT1.9_fov0.018.gpdata
21,m1.1_feh-4.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[43605421.335438095, 5867355631.91166]","[5039.927410676772, 6684.260465016398]",True,True,constant + exponential,True,7.729476901280315e-05,0.0009441843097590663,m1.1_feh-4.0_MLT1.9_fov0.018.gpdict,m1.1_feh-4.0_MLT1.9_fov0.018.gpdata
22,m1.23_feh-3.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[33056023.266891405, 4255006672.740244]","[4911.728091545535, 6869.18064009888]",True,True,constant + exponential,True,9.092087507349052e-05,0.0015614919171598185,m1.23_feh-3.0_MLT1.9_fov0.018.gpdict,m1.23_feh-3.0_MLT1.9_fov0.018.gpdata
23,m1.03_feh-1.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[67998856.27816485, 9356847072.631477]","[4742.327981784143, 6059.312589893551]",True,True,constant + exponential,True,0.00016648725806668154,0.0038787553996009194,m1.03_feh-1.0_MLT1.9_fov0.018.gpdict,m1.03_feh-1.0_MLT1.9_fov0.018.gpdata
24,m0.98_feh-2.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[70500669.4271924, 10096668822.510164]","[4937.31484566073, 6177.218260269072]",True,True,constant + exponential,True,4.9571007833420656e-05,0.00042399882393429067,m0.98_feh-2.5_MLT1.9_fov0.018.gpdict,m0.98_feh-2.5_MLT1.9_fov0.018.gpdata
25,m1.13_feh-3.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[41036471.53838398, 5520140440.846584]","[5023.3185111145785, 6702.547419403146]",True,True,constant + exponential,True,8.701769884046595e-05,0.0012846143821749756,m1.13_feh-3.5_MLT1.9_fov0.018.gpdict,m1.13_feh-3.5_MLT1.9_fov0.018.gpdata
26,m0.96_feh0.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[83908068.85531121, 13773137523.810127]","[4765.345496951391, 5784.697625491191]",True,True,constant + exponential,True,4.572470289131859e-05,0.0003563810959319458,m0.96_feh0.5_MLT1.9_fov0.018.gpdict,m0.96_feh0.5_MLT1.9_fov0.018.gpdata
27,m1.21_feh-5.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[31429070.011247225, 3965089571.443361]","[4994.92383206515, 7145.496215566049]",True,True,constant + exponential,True,8.886514366114563e-05,0.0006319311863353105,m1.21_feh-5.0_MLT1.9_fov0.018.gpdict,m1.21_feh-5.0_MLT1.9_fov0.018.gpdata
28,m0.91_feh-1.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[95118256.7057722, 14882512095.648926]","[4707.297917699972, 5756.371460114102]",True,True,constant + exponential,True,3.914724493936257e-05,0.0005311566686568847,m0.91_feh-1.0_MLT1.9_fov0.018.gpdict,m0.91_feh-1.0_MLT1.9_fov0.018.gpdata
29,m1.19_feh-1.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[40095227.776493415, 5328885416.8146105]","[4953.847294468701, 6592.959383523697]",True,True,constant + exponential,True,0.00011253504106590478,0.0013516685726808753,m1.19_feh-1.5_MLT1.9_fov0.018.gpdict,m1.19_feh-1.5_MLT1.9_fov0.018.gpdata
30,m0.98_feh-5.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[54936953.96001846, 8171368007.5474]","[5103.266738703848, 6511.715540691062]",True,True,constant + exponential,True,3.831216863618052e-05,0.00039263267244094013,m0.98_feh-5.5_MLT1.9_fov0.018.gpdict,m0.98_feh-5.5_MLT1.9_fov0.018.gpdata
31,m1.24_feh3.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[48667971.61333937, 6452995687.383921]","[4740.737709946005, 6125.789099516171]",True,True,constant + exponential,True,0.000103703703934358,0.0014434622873512604,m1.24_feh3.5_MLT1.9_fov0.018.gpdict,m1.24_feh3.5_MLT1.9_fov0.018.gpdata
32,m1.17_feh-1.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[42970745.60331011, 5669570482.6503935]","[4941.205897650406, 6541.098798317931]",True,True,constant + exponential,True,0.0001133692513501103,0.001385777470245264,m1.17_feh-1.5_MLT1.9_fov0.018.gpdict,m1.17_feh-1.5_MLT1.9_fov0.018.gpdata
33,m1.09_feh-5.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[41214742.14935632, 5728387669.2608385]","[4950.574222862914, 6711.559480262935]",True,True,constant + exponential,True,0.0001415991687630449,0.0020608907069280535,m1.09_feh-5.0_MLT1.9_fov0.018.gpdict,m1.09_feh-5.0_MLT1.9_fov0.018.gpdata
34,m1.05_feh-2.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[55092837.31575597, 7818255787.63668]","[4953.325405023579, 6351.1798238358615]",True,True,constant + exponential,True,7.2103831819772e-05,0.0003659506209623409,m1.05_feh-2.5_MLT1.9_fov0.018.gpdict,m1.05_feh-2.5_MLT1.9_fov0.018.gpdata
35,m0.92_feh2.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[104433402.40121454, 17952877974.56142]","[4692.554157285373, 5530.405954348513]",True,True,constant + exponential,True,5.79014840007146e-05,0.0003731556494745991,m0.92_feh2.0_MLT1.9_fov0.018.gpdict,m0.92_feh2.0_MLT1.9_fov0.018.gpdata
36,m1.03_feh0.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[73606099.62456067, 10584968469.435078]","[4786.4274537512465, 5956.720353808637]",True,True,constant + exponential,True,4.907216957648107e-05,0.0004953385379607989,m1.03_feh0.5_MLT1.9_fov0.018.gpdict,m1.03_feh0.5_MLT1.9_fov0.018.gpdata
37,m1.15_feh-1.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[47546903.93045803, 6031437232.734619]","[4936.565521389487, 6489.906485784315]",True,True,constant + exponential,True,0.00011358947572918216,0.0022639399830555185,m1.15_feh-1.5_MLT1.9_fov0.018.gpdict,m1.15_feh-1.5_MLT1.9_fov0.018.gpdata
38,m1.01_feh4.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[90088447.5058554, 14016597839.744951]","[4621.0641682708065, 5560.525809392413]",True,True,constant + exponential,True,5.7148449201482064e-05,0.0006420606821616603,m1.01_feh4.0_MLT1.9_fov0.018.gpdict,m1.01_feh4.0_MLT1.9_fov0.018.gpdata
39,m1.01_feh-5.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[56944905.96491781, 7531287188.486795]","[4932.698559894511, 6481.558391722866]",True,True,constant + exponential,True,3.084063029807734e-05,0.0003070627463245268,m1.01_feh-5.0_MLT1.9_fov0.018.gpdict,m1.01_feh-5.0_MLT1.9_fov0.018.gpdata
40,m1.09_feh-2.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[52117065.34864136, 7096917271.075367]","[4804.971679476298, 6315.0323625616165]",True,True,constant + exponential,True,3.611594872287758e-05,0.0005178481755893083,m1.09_feh-2.0_MLT1.9_fov0.018.gpdict,m1.09_feh-2.0_MLT1.9_fov0.018.gpdata
41,m1.25_feh3.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[47697532.59781931, 6264603664.748063]","[4746.8155622749155, 6148.386829888547]",True,True,constant + exponential,True,0.00016559579235573725,0.001666424615114459,m1.25_feh3.5_MLT1.9_fov0.018.gpdict,m1.25_feh3.5_MLT1.9_fov0.018.gpdata
42,m1.26_feh1.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[41967321.95143325, 5433499823.473512]","[4841.480086268794, 6384.34693630159]",True,True,constant + exponential,True,8.140931629888482e-05,0.0006653723674221457,m1.26_feh1.5_MLT1.9_fov0.018.gpdict,m1.26_feh1.5_MLT1.9_fov0.018.gpdata
43,m1.23_feh3.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[48731966.45541249, 6518887243.865868]","[4762.906986901367, 6146.654875570779]",True,True,constant + exponential,True,0.00016938004179902595,0.0023813428792855973,m1.23_feh3.0_MLT1.9_fov0.018.gpdict,m1.23_feh3.0_MLT1.9_fov0.018.gpdata
44,m1.22_feh-2.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[35453199.46716375, 4555330091.343911]","[5014.121303265009, 6799.829871110498]",True,True,constant + exponential,True,9.188803253002618e-05,0.0012785082419833893,m1.22_feh-2.5_MLT1.9_fov0.018.gpdict,m1.22_feh-2.5_MLT1.9_fov0.018.gpdata
45,m0.91_feh-2.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[85734030.54244512, 13928264222.98724]","[4753.424100463721, 5859.608002304515]",True,True,constant + exponential,True,4.3187107667467144e-05,0.0003207981604478327,m0.91_feh-2.0_MLT1.9_fov0.018.gpdict,m0.91_feh-2.0_MLT1.9_fov0.018.gpdata
