,evolutionary_track,x,y,x2,xlog,ylog,xrange,yrange,xnormalization,ynormalization,kname,combination,mean_deviation,max_deviation,saveGPmodel,saveGPdata
17,m1.71_feh-5.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[13047745.619403355, 1319010883.5260675]","[5562.162286653426, 9681.711536777037]",True,True,exponential + exponential,True,0.0001716131881665599,0.0019826298665024797,m1.71_feh-5.0_MLT1.9_fov0.018.gpdict,m1.71_feh-5.0_MLT1.9_fov0.018.gpdata
18,m1.78_feh-4.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[13074298.064049542, 1223165996.0953572]","[5598.660794893443, 9740.184515043922]",True,True,exponential + exponential,True,0.00012367209674124196,0.003108724548340047,m1.78_feh-4.0_MLT1.9_fov0.018.gpdict,m1.78_feh-4.0_MLT1.9_fov0.018.gpdata
19,m1.73_feh4.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[20911472.13030731, 2116511296.394968]","[4766.842622732002, 7277.449606956039]",True,True,exponential + exponential,True,0.0001380362585100652,0.0028156365128271243,m1.73_feh4.0_MLT1.9_fov0.018.gpdict,m1.73_feh4.0_MLT1.9_fov0.018.gpdata
20,m1.66_feh5.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[23458766.99706996, 2451487554.408938]","[4631.085347054456, 6939.992844760383]",True,True,exponential + exponential,True,0.00011005574418259587,0.0008876669041382179,m1.66_feh5.0_MLT1.9_fov0.018.gpdict,m1.66_feh5.0_MLT1.9_fov0.018.gpdata
21,m1.97_feh1.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[13707367.74666551, 1250457855.2936642]","[5679.689137660353, 8879.310217705206]",True,True,exponential + exponential,True,0.00014801017935940603,0.0013115359891695544,m1.97_feh1.0_MLT1.9_fov0.018.gpdict,m1.97_feh1.0_MLT1.9_fov0.018.gpdata
22,m1.46_feh-3.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[21931586.982729346, 2341479782.062018]","[5126.796156042246, 7913.012399565166]",True,True,exponential + exponential,True,0.00014953842751337464,0.001405655427972996,m1.46_feh-3.0_MLT1.9_fov0.018.gpdict,m1.46_feh-3.0_MLT1.9_fov0.018.gpdata
23,m1.58_feh2.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[24592093.95313653, 2616171599.4465733]","[4843.535877120716, 7072.270568496538]",True,True,exponential + exponential,True,0.0001331488153177436,0.0012384107867157157,m1.58_feh2.5_MLT1.9_fov0.018.gpdict,m1.58_feh2.5_MLT1.9_fov0.018.gpdata
24,m1.16_feh4.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[59406450.96573224, 8409574828.960264]","[4687.937135387729, 5899.966323153586]",True,True,exponential + exponential,True,0.0001819917612069649,0.0013794366231788535,m1.16_feh4.0_MLT1.9_fov0.018.gpdict,m1.16_feh4.0_MLT1.9_fov0.018.gpdata
25,m1.49_feh-2.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[22821059.62365618, 2355293365.0950475]","[4980.90220117865, 7757.652458488027]",True,True,exponential + exponential,True,0.0001404982570878103,0.0015512073738394028,m1.49_feh-2.0_MLT1.9_fov0.018.gpdict,m1.49_feh-2.0_MLT1.9_fov0.018.gpdata
26,m1.56_feh-4.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[16214008.12122719, 1726567533.672318]","[5218.61395571898, 8827.675665880097]",True,True,exponential + exponential,True,0.0003563685776369754,0.004639299258186735,m1.56_feh-4.5_MLT1.9_fov0.018.gpdict,m1.56_feh-4.5_MLT1.9_fov0.018.gpdata
27,m0.83_feh0.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[124522508.27987312, 23562128626.564133]","[4747.932701227601, 5455.363924438785]",True,True,exponential + exponential,True,7.253154115972253e-05,0.0011411812723270964,m0.83_feh0.5_MLT1.9_fov0.018.gpdict,m0.83_feh0.5_MLT1.9_fov0.018.gpdata
28,m1.26_feh3.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[45696096.53529286, 5935651533.426229]","[4892.496271465836, 6290.3373745530525]",True,True,exponential + exponential,True,0.00014963900862628794,0.002002964147791997,m1.26_feh3.0_MLT1.9_fov0.018.gpdict,m1.26_feh3.0_MLT1.9_fov0.018.gpdata
29,m0.95_feh1.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[86808923.61686139, 15017523214.62541]","[4738.970468509286, 5694.220707184457]",True,True,exponential + exponential,True,8.889750616618156e-05,0.0013602175116208537,m0.95_feh1.0_MLT1.9_fov0.018.gpdict,m0.95_feh1.0_MLT1.9_fov0.018.gpdata
30,m1.51_feh-2.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[20954511.01376261, 2180894805.167767]","[5110.123640219943, 7998.756463426931]",True,True,exponential + exponential,True,0.00013920833452757043,0.001080472813427491,m1.51_feh-2.5_MLT1.9_fov0.018.gpdict,m1.51_feh-2.5_MLT1.9_fov0.018.gpdata
31,m0.94_feh1.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[96991187.9188479, 15754615925.991528]","[4605.217504252314, 5580.894716753356]",True,True,exponential + exponential,True,4.306750767025259e-05,0.0003887718830620779,m0.94_feh1.0_MLT1.9_fov0.018.gpdict,m0.94_feh1.0_MLT1.9_fov0.018.gpdata
32,m1.32_feh1.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[36890023.2673612, 4591972418.631341]","[4865.766531799651, 6529.6978780452555]",True,True,exponential + exponential,True,0.0001265853477166929,0.0013676652366565456,m1.32_feh1.5_MLT1.9_fov0.018.gpdict,m1.32_feh1.5_MLT1.9_fov0.018.gpdata
33,m1.63_feh2.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[22447161.225886006, 2299195789.8804264]","[4809.630760044816, 7356.471922883576]",True,True,exponential + exponential,True,0.00010471064565070394,0.000979766509802027,m1.63_feh2.0_MLT1.9_fov0.018.gpdict,m1.63_feh2.0_MLT1.9_fov0.018.gpdata
34,m1.8_feh5.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[19005628.62360115, 1914484854.5802734]","[4739.9816232419735, 7357.183246250705]",True,True,exponential + exponential,True,0.0001462370154256705,0.0009642364549025118,m1.8_feh5.0_MLT1.9_fov0.018.gpdict,m1.8_feh5.0_MLT1.9_fov0.018.gpdata
35,m1.98_feh-3.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[10716444.194900887, 971321783.9891039]","[6268.2362517412685, 10244.362511637675]",True,True,exponential + exponential,True,0.00018875761588890718,0.0022376743011111033,m1.98_feh-3.0_MLT1.9_fov0.018.gpdict,m1.98_feh-3.0_MLT1.9_fov0.018.gpdata
36,m1.29_feh2.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[40386045.36338472, 5142553559.31646]","[4833.285002244048, 6400.42436793351]",True,True,exponential + exponential,True,0.0001292548198303383,0.0013956432189542456,m1.29_feh2.0_MLT1.9_fov0.018.gpdict,m1.29_feh2.0_MLT1.9_fov0.018.gpdata
37,m0.94_feh5.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[106337016.12280218, 18462926952.90659]","[4575.721218819375, 5361.14105142356]",True,True,exponential + exponential,True,0.000115631644274569,0.0022591555441808797,m0.94_feh5.0_MLT1.9_fov0.018.gpdict,m0.94_feh5.0_MLT1.9_fov0.018.gpdata
38,m1.85_feh1.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[15695324.708138062, 1497665721.140417]","[5147.797124345826, 8444.067286665657]",True,True,exponential + exponential,True,0.00017202845998589986,0.003209270521755514,m1.85_feh1.0_MLT1.9_fov0.018.gpdict,m1.85_feh1.0_MLT1.9_fov0.018.gpdata
39,m1.53_feh3.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[27133417.84148545, 2996605163.309264]","[4822.929920364707, 6852.718154241068]",True,True,exponential + exponential,True,0.00012000441036054124,0.001306180285113756,m1.53_feh3.0_MLT1.9_fov0.018.gpdict,m1.53_feh3.0_MLT1.9_fov0.018.gpdata
40,m0.86_feh-2.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[96788227.08495945, 17039358020.42888]","[4886.268210375562, 5814.026126843461]",True,True,exponential + exponential,True,0.00011767045169355802,0.0016262631447409026,m0.86_feh-2.0_MLT1.9_fov0.018.gpdict,m0.86_feh-2.0_MLT1.9_fov0.018.gpdata
41,m0.91_feh-3.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[81057246.24627523, 12169370940.42978]","[4969.096591341027, 6128.934810944279]",True,True,exponential + exponential,True,5.845707029395968e-05,0.0006315082481168632,m0.91_feh-3.5_MLT1.9_fov0.018.gpdict,m0.91_feh-3.5_MLT1.9_fov0.018.gpdata
42,m1.58_feh-1.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[19446570.49739425, 2004478578.8248649]","[5023.83376355816, 8079.7308366663065]",True,True,exponential + exponential,True,0.00013469811282295545,0.0016776318245487198,m1.58_feh-1.5_MLT1.9_fov0.018.gpdict,m1.58_feh-1.5_MLT1.9_fov0.018.gpdata
43,m1.48_feh-2.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[21193356.54204308, 2331283200.3571177]","[5096.776152809394, 7850.908146333195]",True,True,exponential + exponential,True,0.00010323481528281283,0.0006284899369271013,m1.48_feh-2.5_MLT1.9_fov0.018.gpdict,m1.48_feh-2.5_MLT1.9_fov0.018.gpdata
44,m1.18_feh-0.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[43474714.30505465, 5883048798.560636]","[4907.420385134108, 6450.790925752999]",True,True,exponential + exponential,True,0.00017895626026754002,0.0023545448555172266,m1.18_feh-0.5_MLT1.9_fov0.018.gpdict,m1.18_feh-0.5_MLT1.9_fov0.018.gpdata
45,m1.71_feh-2.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[15940571.292770244, 1563540724.7109823]","[5237.714874719325, 8781.993014517628]",True,True,exponential + exponential,True,0.00016850255637359634,0.0035804951591755785,m1.71_feh-2.0_MLT1.9_fov0.018.gpdict,m1.71_feh-2.0_MLT1.9_fov0.018.gpdata
46,m0.91_feh-4.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[72937849.21362008, 11353767682.157766]","[5015.189378742841, 6234.466016059229]",True,True,exponential + exponential,True,5.63794204234029e-05,0.000578083133428664,m0.91_feh-4.5_MLT1.9_fov0.018.gpdict,m0.91_feh-4.5_MLT1.9_fov0.018.gpdata
47,m0.91_feh-5.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[66138509.65863343, 10730126210.230991]","[5080.138610297852, 6322.771041566465]",True,True,exponential + exponential,True,6.207322425693011e-05,0.0007409176408322837,m0.91_feh-5.5_MLT1.9_fov0.018.gpdict,m0.91_feh-5.5_MLT1.9_fov0.018.gpdata
48,m1.14_feh-5.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[35431860.1733587, 4879343955.134897]","[5090.4199181120675, 6925.866463226816]",True,True,exponential + exponential,True,9.661574226500683e-05,0.0014012160162314435,m1.14_feh-5.0_MLT1.9_fov0.018.gpdict,m1.14_feh-5.0_MLT1.9_fov0.018.gpdata
49,m0.87_feh-3.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[90252333.99048091, 15031222439.956232]","[4811.160816613376, 5885.670338596171]",True,True,exponential + exponential,True,5.280674023288154e-05,0.0004743314858096648,m0.87_feh-3.0_MLT1.9_fov0.018.gpdict,m0.87_feh-3.0_MLT1.9_fov0.018.gpdata
